stateabbr,placename,placefips,population2010,arthritis_crudeprev,bphigh_crudeprev,cancer_crudeprev,casthma_crudeprev,csmoking_crudeprev,diabetes_crudeprev,obesity_crudeprev
CA,Alameda,0600562,73812,19.3,25.6,6.2,8.4,11.2,8.3,20.2
CA,Alhambra,0600884,83089,15.9,26.0,5.0,7.1,11.3,11.5,17.7
CA,Anaheim,0602000,336265,15.9,26.4,4.9,8.4,13.7,9.9,22.9
CA,Antioch,0602252,102372,19.6,26.2,5.4,9.9,15.4,9.7,27.7
CA,Apple Valley,0602364,69135,26.1,32.5,7.2,9.6,16.2,11.9,30.9
CA,Bakersfield,0603526,347483,19.8,29.0,5.2,9.7,16.9,9.9,29.2
CA,Baldwin Park,0603666,75390,14.9,24.1,4.1,8.3,13.7,11.1,25.3
CA,Bellflower,0604982,76616,16.7,25.4,4.8,9.2,14.6,9.9,25.8
CA,Berkeley,0606000,112580,15.6,21.1,5.1,8.9,10.5,6.0,20.4
CA,Buena Park,0608786,80530,16.2,27.3,5.1,8.0,12.9,10.4,20.8
CA,Burbank,0608954,103340,18.3,24.5,6.2,8.7,12.4,8.0,22.0
CA,Carlsbad,0611194,105328,20.4,27.2,7.4,8.2,10.1,7.4,20.4
CA,Carson,0611530,91714,17.9,28.9,5.3,8.8,12.1,11.7,23.3
CA,Chico,0613014,86187,18.1,23.6,5.5,10.0,15.3,7.1,25.1
CA,Chino,0613210,77983,17.6,24.4,4.6,8.5,14.1,9.4,28.3
CA,Chino Hills,0613214,74799,16.7,23.2,4.8,7.5,10.3,8.5,22.4
CA,Chula Vista,0613392,243916,17.4,27.3,5.1,8.3,12.6,10.4,24.1
CA,Citrus Heights,0613588,83301,23.1,30.0,6.8,10.7,15.7,9.2,30.4
CA,Clovis,0614218,95631,19.0,26.9,6.0,9.7,14.0,8.8,26.2
CA,Compton,0615044,96455,17.9,30.0,4.2,10.9,17.9,12.7,32.7
CA,Concord,0616000,122067,19.6,24.6,6.1,9.1,13.3,8.6,24.7
CA,Corona,0616350,152374,18.5,25.9,4.8,8.6,14.4,9.2,27.0
CA,Costa Mesa,0616532,109960,15.6,24.4,5.1,8.6,13.4,7.9,22.0
CA,Daly City,0617918,101123,16.2,27.2,5.0,7.1,10.3,10.3,17.1
CA,Downey,0619766,111772,16.2,24.1,5.0,8.5,12.3,9.6,24.8
CA,El Cajon,0621712,99478,21.5,30.2,6.1,9.9,17.9,10.1,26.9
CA,Elk Grove,0622020,153015,18.4,27.2,5.3,9.6,12.7,9.1,26.5
CA,El Monte,0622230,113475,16.1,26.4,4.2,8.5,16.0,12.8,25.0
CA,Escondido,0622804,143911,19.5,28.3,5.8,9.1,15.5,9.8,25.4
CA,Fairfield,0623182,105321,20.0,28.7,5.5,9.7,15.1,9.4,27.9
CA,Folsom,0624638,72203,18.5,25.7,6.0,9.3,12.0,7.1,26.2
CA,Fontana,0624680,196069,17.0,24.7,4.1,8.8,14.7,10.1,30.8
CA,Fremont,0626000,214089,15.4,22.1,5.0,7.2,9.6,7.5,16.9
CA,Fresno,0627000,494665,18.4,28.7,5.1,10.1,16.8,11.2,30.2
CA,Fullerton,0628000,135161,16.1,26.1,5.4,8.0,11.8,9.0,20.0
CA,Garden Grove,0629000,170883,16.3,28.2,4.9,7.9,14.0,11.5,20.0
CA,Glendale,0630000,191719,20.3,26.9,6.7,9.0,13.6,9.3,22.1
CA,Hawthorne,0632548,84293,16.2,26.5,4.3,9.9,15.4,10.3,28.6
CA,Hayward,0633000,144186,17.5,25.2,4.9,8.8,13.7,9.2,24.2
CA,Hemet,0633182,78657,29.6,37.6,8.4,9.6,17.0,13.8,30.1
CA,Hesperia,0633434,90173,22.3,29.1,5.5,9.6,18.1,11.5,32.8
CA,Huntington Beach,0636000,189992,18.5,27.3,6.6,8.4,11.8,8.3,20.3
CA,Indio,0636448,76036,21.9,30.4,5.8,8.8,15.7,12.1,30.8
CA,Inglewood,0636546,109673,18.9,31.4,4.8,10.7,15.8,12.4,31.8
CA,Irvine,0636770,212375,13.2,21.8,4.8,7.4,9.3,6.8,15.8
CA,Lake Forest,0639496,77264,16.5,24.9,5.6,8.2,11.1,7.8,20.1
CA,Lakewood,0639892,80048,17.8,24.9,5.8,8.7,12.4,8.6,22.1
CA,Lancaster,0640130,156633,18.3,27.2,5.0,10.1,17.2,10.0,28.3
CA,Livermore,0641992,80968,19.4,23.8,6.1,8.9,12.6,7.0,23.1
CA,Long Beach,0643000,462257,16.8,25.1,5.0,9.3,14.3,9.4,24.9
CA,Los Angeles,0644000,3792621,16.8,25.4,5.0,9.0,14.2,10.0,25.2
CA,Lynwood,0644574,69772,15.3,25.1,3.6,9.9,17.2,11.4,31.0
CA,Manteca,0645484,67096,21.5,27.0,5.6,9.5,15.8,9.5,30.8
CA,Menifee,0646842,77519,25.7,32.7,7.6,8.9,14.2,11.2,27.0
CA,Merced,0646898,78958,19.7,29.3,5.0,9.7,17.9,11.6,29.7
CA,Milpitas,0647766,66790,12.5,23.8,4.4,6.7,10.0,8.8,15.6
CA,Mission Viejo,0648256,93305,19.2,27.5,7.1,8.2,10.4,8.1,19.6
CA,Modesto,0648354,201165,22.1,28.8,6.1,9.7,16.5,10.6,25.9
CA,Moreno Valley,0649270,193365,18.6,28.0,4.3,9.5,16.6,10.7,30.7
CA,Mountain View,0649670,74066,13.6,22.4,5.3,7.5,9.1,6.6,18.7
CA,Murrieta,0650076,103466,20.2,26.6,5.8,8.7,13.9,8.5,25.5
CA,Napa,0650258,76915,21.4,28.2,6.8,9.2,13.5,9.1,26.3
CA,Newport Beach,0651182,85186,19.3,27.4,7.8,7.9,8.5,7.3,18.2
CA,Norwalk,0652526,105549,16.1,24.9,4.7,8.5,13.3,10.6,25.0
CA,Oakland,0653000,390724,19.3,28.6,5.3,9.7,14.6,10.2,26.8
CA,Oceanside,0653322,167086,20.0,28.5,6.3,8.9,13.7,9.3,23.8
CA,Ontario,0653896,163924,17.8,25.3,4.4,8.8,15.1,10.4,31.1
CA,Orange,0653980,136416,16.5,25.7,5.5,8.4,12.6,8.5,21.3
CA,Oxnard,0654652,197899,17.9,27.3,4.5,9.0,15.0,11.4,26.1
CA,Palmdale,0655156,152750,17.4,26.1,4.6,9.9,16.6,10.3,28.5
CA,Pasadena,0656000,137122,17.2,25.0,5.8,8.5,11.2,8.7,22.3
CA,Perris,0656700,68386,17.2,26.8,3.7,9.3,17.5,10.9,32.4
CA,Pleasanton,0657792,70285,18.7,23.3,6.4,8.1,9.5,6.8,19.8
CA,Pomona,0658072,149058,15.7,24.8,4.3,9.1,14.9,10.6,27.0
CA,Rancho Cucamonga,0659451,165269,18.4,24.4,5.2,8.5,12.5,8.4,26.7
CA,Redding,0659920,89861,26.0,30.9,7.6,10.0,16.5,9.8,26.7
CA,Redlands,0659962,68747,21.7,27.1,6.5,8.8,12.7,9.4,26.7
CA,Redondo Beach,0660018,66748,16.1,21.4,5.9,8.2,9.9,6.3,19.7
CA,Redwood City,0660102,76815,17.8,25.8,5.7,8.4,11.6,7.9,23.3
CA,Rialto,0660466,99171,19.1,27.5,4.5,9.5,15.9,11.5,33.1
CA,Richmond,0660620,103701,19.6,28.5,5.2,10.0,15.1,11.3,28.9
CA,Riverside,0662000,303871,18.8,26.4,4.9,9.0,15.2,9.5,27.7
CA,Roseville,0662938,118788,20.7,26.9,6.7,9.1,12.5,7.9,21.7
CA,Sacramento,0664000,466488,19.9,29.8,5.5,10.3,15.0,10.7,30.2
